"Age","State","Male_Pct","Female_Pct"
"0-4","New South Wales",2.95272173673296,2.77895254192589
"0-4","Victoria",2.90035089397351,2.76714644230421
"0-4","Queensland",2.90138697967201,2.74220316118699
"0-4","South Australia",2.68726358810187,2.56740150774732
"0-4","Western Australia",3.02108412949465,2.85421708597849
"0-4","Tasmania",2.61109348690793,2.46868605174079
"0-4","Northern Territory",3.46991436847242,3.2430915866135
"0-4","Australian Capital Territory",2.89236615193929,2.75533901885142
"5-9","New South Wales",3.07753443377567,2.9039090876398
"5-9","Victoria",3.08374173651954,2.91660535789968
"5-9","Queensland",3.16043611824435,2.98689425630646
"5-9","South Australia",2.91047365759597,2.76195477189777
"5-9","Western Australia",3.28553302264807,3.09484269174712
"5-9","Tasmania",2.82287443394352,2.65588995060188
"5-9","Northern Territory",3.57818865807058,3.33239811744994
"5-9","Australian Capital Territory",3.14111650308472,2.97449665580886
"10-14","New South Wales",3.18808213759125,3.00113880198032
"10-14","Victoria",3.0827588402352,2.92345629170249
"10-14","Queensland",3.37044081757337,3.19953614729008
"10-14","South Australia",3.04253241969753,2.87863276276968
"10-14","Western Australia",3.2800193360481,3.10073782836344
"10-14","Tasmania",3.01513318668447,2.83873621680791
"10-14","Northern Territory",3.52523699819411,3.34148683518993
"10-14","Australian Capital Territory",3.09608411192908,2.93739854309493
"15-19","New South Wales",3.11487515134079,2.89392359238082
"15-19","Victoria",3.03298321198476,2.8665950081485
"15-19","Queensland",3.27671063084921,3.08144856542268
"15-19","South Australia",2.99363775747276,2.83718563187716
"15-19","Western Australia",3.1239716020866,2.92759419821461
"15-19","Tasmania",2.97399713442077,2.73467594900524
"15-19","Northern Territory",3.28616420546825,3.00876073357807
"15-19","Australian Capital Territory",2.9551970595993,2.73646830255763
"20-24","New South Wales",3.45057000035962,3.12929598062838
"20-24","Victoria",3.44334974574527,3.21459897318145
"20-24","Queensland",3.27341414128095,3.16186459705726
"20-24","South Australia",3.23325398294515,2.95893657887394
"20-24","Western Australia",3.18354715918568,2.9433030034334
"20-24","Tasmania",2.74129955064092,2.56315952770234
"20-24","Northern Territory",3.59241447714187,3.20515606909006
"20-24","Australian Capital Territory",3.9598482622858,3.94183530582355
"25-29","New South Wales",3.64067800673691,3.53751453470949
"25-29","Victoria",3.85421506269485,3.71996903436601
"25-29","Queensland",3.49096413895509,3.47642295719289
"25-29","South Australia",3.46871470180462,3.33363375307548
"25-29","Western Australia",3.59183738577739,3.41217442807639
"25-29","Tasmania",3.3529368701042,3.29349876068927
"25-29","Northern Territory",4.50128625114103,4.68306060594086
"25-29","Australian Capital Territory",4.36664086239173,4.4461980867667
"30-34","New South Wales",3.67414679756896,3.71557521487395
"30-34","Victoria",3.86801962095705,3.96858311392986
"30-34","Queensland",3.49035978253425,3.58991376749566
"30-34","South Australia",3.41615024153208,3.42165493860374
"30-34","Western Australia",3.72187716407864,3.73432630552135
"30-34","Tasmania",3.61090872328335,3.53595744161644
"30-34","Northern Territory",4.78540747092598,4.95888343126756
"30-34","Australian Capital Territory",4.43504720895673,4.44598364680881
"35-39","New South Wales",3.56020666259095,3.60585464091775
"35-39","Victoria",3.78928522755296,3.84021979321329
"35-39","Queensland",3.40432140480269,3.53072346591448
"35-39","South Australia",3.35608428230893,3.42926437279104
"35-39","Western Australia",3.84300488290698,3.81072034061406
"35-39","Tasmania",3.21453845697971,3.24957382352634
"35-39","Northern Territory",4.26735055974646,4.30528607726991
"35-39","Australian Capital Territory",4.00316513377837,4.10073531461558
"40-44","New South Wales",3.29818630800398,3.34150873281308
"40-44","Victoria",3.37976955923263,3.43526652406358
"40-44","Queensland",3.22737317031094,3.36701613118856
"40-44","South Australia",3.08014784968723,3.15899454009605
"40-44","Western Australia",3.49876358178791,3.4634621166384
"40-44","Tasmania",2.84780009273042,2.98881308544795
"40-44","Northern Territory",3.57186607181668,3.59241447714187
"40-44","Australian Capital Territory",3.63883164533347,3.70680911198269
"45-49","New South Wales",2.97781134246772,3.04736217499191
"45-49","Victoria",2.9863909940881,3.06942372497447
"45-49","Queensland",3.03139686547795,3.15596754349626
"45-49","South Australia",2.88068353226697,2.9284448745064
"45-49","Western Australia",3.1160998608401,3.08346854580504
"45-49","Tasmania",2.75071203717584,2.85651535804053
"45-49","Northern Territory",3.07277691939888,3.05697045376411
"45-49","Australian Capital Territory",3.08943647323468,3.10015847112888
"50-54","New South Wales",3.05013126191247,3.15463732153774
"50-54","Victoria",3.03242574842051,3.19423688299236
"50-54","Queensland",3.19779633335128,3.31016999996704
"50-54","South Australia",3.12861077096521,3.20556859473179
"50-54","Western Australia",3.24374690722061,3.19107212769005
"50-54","Tasmania",3.1157073483631,3.29018695987143
"50-54","Northern Territory",3.17354313782053,3.07475272760323
"50-54","Australian Capital Territory",2.95283822006257,3.03260988439542
"55-59","New South Wales",2.78149386845039,2.87396458925211
"55-59","Victoria",2.7253366749851,2.87026253159755
"55-59","Queensland",2.8617192218673,2.97400131932838
"55-59","South Australia",2.98586642043041,3.09326198094619
"55-59","Western Australia",2.91164265207632,2.90973540199457
"55-59","Tasmania",3.02489428383179,3.23214329290612
"55-59","Northern Territory",2.7274056452792,2.65469590335927
"55-59","Australian Capital Territory",2.45319311819287,2.54175682079896
"60-64","New South Wales",2.80135697246497,2.95014444804066
"60-64","Victoria",2.64082226462531,2.8236116333257
"60-64","Queensland",2.80555070239036,2.9627383133035
"60-64","South Australia",3.03071351127896,3.22256839451193
"60-64","Western Australia",2.76003360921417,2.83233572594966
"60-64","Tasmania",3.35223964887939,3.53630605222884
"60-64","Northern Territory",2.425897313296,2.33303432769174
"60-64","Australian Capital Territory",2.20208392751072,2.39036221053286
"65-69","New South Wales",2.42630752448424,2.62522626197241
"65-69","Victoria",2.28227050215291,2.51008238871377
"65-69","Queensland",2.41975153991847,2.5882021568565
"65-69","South Australia",2.69201273851664,2.92655600786416
"65-69","Western Australia",2.33582651375838,2.49215166591359
"65-69","Tasmania",3.02628872628141,3.22499677535184
"65-69","Northern Territory",1.84184840809133,1.74068702802882
"65-69","Australian Capital Territory",1.80258228597284,2.09336286886353
"70-74","New South Wales",2.10381079104782,2.2807206818427
"70-74","Victoria",1.95412984411998,2.18626940835072
"70-74","Queensland",2.14454960246167,2.27706848310567
"70-74","South Australia",2.39923840896985,2.65666394849762
"70-74","Western Australia",1.99546906735124,2.13403945510905
"70-74","Tasmania",2.71288778572997,2.85128619885447
"70-74","Northern Territory",1.35066248849092,1.22974302638494
"70-74","Australian Capital Territory",1.62588376067643,1.93532061990303
"75-79","New South Wales",1.71125975473802,1.85253113724362
"75-79","Victoria",1.5751719811771,1.76685142671797
"75-79","Queensland",1.71776408635777,1.82327006637299
"75-79","South Australia",1.93592640543821,2.17268234713807
"75-79","Western Australia",1.55704428946785,1.6467197205844
"75-79","Tasmania",2.13558861158851,2.27555577246883
"75-79","Northern Territory",0.84722655802356,0.788347473534049
"75-79","Australian Capital Territory",1.32952773888075,1.55683409423778
"80-84","New South Wales",1.04223157238585,1.21749919085122
"80-84","Victoria",0.982866944156381,1.16989596996386
"80-84","Queensland",0.994166312294038,1.12968866121134
"80-84","South Australia",1.16553865349713,1.42156103494781
"80-84","Western Australia",0.935419471913662,1.07194390049287
"80-84","Tasmania",1.27661206262441,1.42773476310166
"80-84","Northern Territory",0.449693947309147,0.433097158392641
"80-84","Australian Capital Territory",0.771769408424488,0.968839729719877
"85-89","New South Wales",0.583258412150418,0.790232675225663
"85-89","Victoria",0.555248380091568,0.760072229673815
"85-89","Queensland",0.507641079680914,0.668637967428485
"85-89","South Australia",0.665636604724433,0.912646393910726
"85-89","Western Australia",0.506634976261672,0.67693506992499
"85-89","Tasmania",0.654167814176599,0.864205708150168
"85-89","Northern Territory",0.156484009784202,0.201137275202422
"85-89","Australian Capital Territory",0.414297998631873,0.600646322033062
"90-94","New South Wales",0.244051258076504,0.407619184617782
"90-94","Victoria",0.229528287535012,0.393701307208048
"90-94","Queensland",0.19581148035457,0.331974813354592
"90-94","South Australia",0.28457125155764,0.480959414731973
"90-94","Western Australia",0.201683026826686,0.335884078033577
"90-94","Tasmania",0.247862145419431,0.435414654892924
"90-94","Northern Territory",0.0604597310529872,0.0837742678642699
"90-94","Australian Capital Territory",0.179057364833134,0.278986385207074
"95-99","New South Wales",0.0576953045396243,0.132316802723535
"95-99","Victoria",0.0566118919594536,0.126705600117595
"95-99","Queensland",0.0458212049987968,0.105853942802976
"95-99","South Australia",0.0750689571243462,0.166705973082031
"95-99","Western Australia",0.0478199611406465,0.102575377124026
"95-99","Tasmania",0.0505485387986181,0.118178997605045
"95-99","Northern Territory",0.0165967889165063,0.0268709915791054
"95-99","Australian Capital Territory",0.0416013518294945,0.0887781425639728
"100 and over","New South Wales",0.00509464043825895,0.0185684659737956
"100 and over","Victoria",0.00509052254727401,0.0160784228006119
"100 and over","Queensland",0.00382759066536712,0.0152004796758598
"100 and over","South Australia",0.00793323989739676,0.0246632015857845
"100 and over","Western Australia",0.00534030022890469,0.0153620324766544
"100 and over","Tasmania",0.00540346449226607,0.0149902563333833
"100 and over","Northern Territory",0.00316129312695358,0.00276613148608438
"100 and over","Australian Capital Territory",0.00493211903133182,0.0115797577257356
